test_id,robot_count,mission_size,inventory_id,scenario,mode,makespan,robot_id,robot_idle_time
test-multi_5_20_t_cleaning_i0_bl2,5,20,0,cleaning,bl2,1002.0265243053436,robot_1,432.4634621143341
test-multi_5_20_t_cleaning_i0_bl2,5,20,0,cleaning,bl2,1002.0265243053436,robot_2,613.9227390289307
test-multi_5_20_t_cleaning_i0_bl2,5,20,0,cleaning,bl2,1002.0265243053436,robot_3,987.0277070999146
test-multi_5_20_t_cleaning_i0_bl2,5,20,0,cleaning,bl2,1002.0265243053436,robot_4,957.0813562870026
test-multi_5_20_t_cleaning_i0_bl2,5,20,0,cleaning,bl2,1002.0265243053436,robot_5,981.0720336437225
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,142.50483536720276,robot_1,84.0320565700531
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,142.50483536720276,robot_2,58.50547528266907
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,142.50483536720276,robot_3,88.50533843040466
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,142.50483536720276,robot_4,70.50270080566406
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,142.50483536720276,robot_5,64.57965469360352
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,142.50483536720276,robot_6,70.5923683643341
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,142.50483536720276,robot_7,91.50879311561584
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,142.50483536720276,robot_8,103.50449323654175
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,142.50483536720276,robot_9,79.56548023223877
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,142.50483536720276,robot_10,78.04427599906921
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.04939317703247,robot_1,193.91934514045715
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.04939317703247,robot_2,322.8021297454834
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.04939317703247,robot_3,468.0450623035431
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.04939317703247,robot_4,489.04939317703247
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.04939317703247,robot_5,489.04939317703247
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.04939317703247,robot_6,489.04939317703247
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.04939317703247,robot_7,471.0464725494385
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.04939317703247,robot_8,471.0482678413391
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.04939317703247,robot_9,489.04939317703247
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.04939317703247,robot_10,489.04939317703247
test-multi_5_10_t_cleaning_i1_bl2,5,10,1,cleaning,bl2,481.50808024406433,robot_1,207.1729393005371
test-multi_5_10_t_cleaning_i1_bl2,5,10,1,cleaning,bl2,481.50808024406433,robot_2,316.7010054588318
