test_id,robot_count,mission_size,inventory_id,scenario,mode,makespan,robot_id,robot_idle_time
test-multi_5_20_t_cleaning_i0_bl2,5,20,0,cleaning,bl2,1006.5085988044739,robot_1,410.6424329280853
test-multi_5_20_t_cleaning_i0_bl2,5,20,0,cleaning,bl2,1006.5085988044739,robot_2,619.1259288787842
test-multi_5_20_t_cleaning_i0_bl2,5,20,0,cleaning,bl2,1006.5085988044739,robot_3,992.9851629734039
test-multi_5_20_t_cleaning_i0_bl2,5,20,0,cleaning,bl2,1006.5085988044739,robot_4,976.4562063217163
test-multi_5_20_t_cleaning_i0_bl2,5,20,0,cleaning,bl2,1006.5085988044739,robot_5,983.9955208301544
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,138.04749822616577,robot_1,82.5816707611084
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,138.04749822616577,robot_2,51.125494956970215
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,138.04749822616577,robot_3,94.58180403709412
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,138.04749822616577,robot_4,99.03858613967896
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,138.04749822616577,robot_5,78.13679075241089
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,138.04749822616577,robot_6,82.5845878124237
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,138.04749822616577,robot_7,94.58180403709412
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,138.04749822616577,robot_8,100.58354568481445
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,138.04749822616577,robot_9,49.42092776298523
test-multi_10_20_t_cleaning_i0_multi3,10,20,0,cleaning,multi3,138.04749822616577,robot_10,91.50652813911438
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.0470702648163,robot_1,190.89280891418457
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.0470702648163,robot_2,319.83991527557373
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.0470702648163,robot_3,489.0470702648163
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.0470702648163,robot_4,469.59909439086914
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.0470702648163,robot_5,489.0470702648163
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.0470702648163,robot_6,489.0470702648163
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.0470702648163,robot_7,468.04648756980896
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.0470702648163,robot_8,471.0440320968628
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.0470702648163,robot_9,489.0470702648163
test-multi_10_10_t_cleaning_i0_bl1,10,10,0,cleaning,bl1,489.0470702648163,robot_10,489.0470702648163
test-multi_5_10_t_cleaning_i1_bl2,5,10,1,cleaning,bl2,462.03310894966125,robot_1,174.2217311859131
test-multi_5_10_t_cleaning_i1_bl2,5,10,1,cleaning,bl2,462.03310894966125,robot_2,305.8456072807312
test-multi_5_10_t_cleaning_i1_bl2,5,10,1,cleaning,bl2,462.03310894966125,robot_3,433.50961351394653
test-multi_5_10_t_cleaning_i1_bl2,5,10,1,cleaning,bl2,462.03310894966125,robot_4,462.03310894966125
test-multi_5_10_t_cleaning_i1_bl2,5,10,1,cleaning,bl2,462.03310894966125,robot_5,438.03343534469604
test-multi_10_20_t_cleaning_i1_bl1,10,20,1,cleaning,bl1,984.0490138530731,robot_1,396.75931096076965
test-multi_10_20_t_cleaning_i1_bl1,10,20,1,cleaning,bl1,984.0490138530731,robot_2,642.8151152133942
test-multi_10_20_t_cleaning_i1_bl1,10,20,1,cleaning,bl1,984.0490138530731,robot_3,984.0490138530731
test-multi_10_20_t_cleaning_i1_bl1,10,20,1,cleaning,bl1,984.0490138530731,robot_4,984.0490138530731
test-multi_10_20_t_cleaning_i1_bl1,10,20,1,cleaning,bl1,984.0490138530731,robot_5,984.0490138530731
test-multi_10_20_t_cleaning_i1_bl1,10,20,1,cleaning,bl1,984.0490138530731,robot_6,954.0520069599152
test-multi_10_20_t_cleaning_i1_bl1,10,20,1,cleaning,bl1,984.0490138530731,robot_7,940.5916538238525
test-multi_10_20_t_cleaning_i1_bl1,10,20,1,cleaning,bl1,984.0490138530731,robot_8,964.5959837436676
test-multi_10_20_t_cleaning_i1_bl1,10,20,1,cleaning,bl1,984.0490138530731,robot_9,984.0490138530731
test-multi_10_20_t_cleaning_i1_bl1,10,20,1,cleaning,bl1,984.0490138530731,robot_10,984.0490138530731
test-multi_10_20_t_cleaning_i1_bl0,10,20,1,cleaning,bl0,997.512127161026,robot_1,410.29230260849
test-multi_10_20_t_cleaning_i1_bl0,10,20,1,cleaning,bl0,997.512127161026,robot_2,626.2947809696198
test-multi_10_20_t_cleaning_i1_bl0,10,20,1,cleaning,bl0,997.512127161026,robot_3,982.5079967975616
test-multi_10_20_t_cleaning_i1_bl0,10,20,1,cleaning,bl0,997.512127161026,robot_4,976.5309615135193
test-multi_10_20_t_cleaning_i1_bl0,10,20,1,cleaning,bl0,997.512127161026,robot_5,979.5104365348816
test-multi_10_20_t_cleaning_i1_bl0,10,20,1,cleaning,bl0,997.512127161026,robot_6,997.512127161026
test-multi_10_20_t_cleaning_i1_bl0,10,20,1,cleaning,bl0,997.512127161026,robot_7,975.0538294315338
test-multi_10_20_t_cleaning_i1_bl0,10,20,1,cleaning,bl0,997.512127161026,robot_8,997.512127161026
test-multi_10_20_t_cleaning_i1_bl0,10,20,1,cleaning,bl0,997.512127161026,robot_9,997.512127161026
test-multi_10_20_t_cleaning_i1_bl0,10,20,1,cleaning,bl0,997.512127161026,robot_10,985.512286901474
test-multi_10_10_t_cleaning_i0_bl0,10,10,0,cleaning,bl0,487.5054404735565,robot_1,229.85075163841248
test-multi_10_10_t_cleaning_i0_bl0,10,10,0,cleaning,bl0,487.5054404735565,robot_2,319.8347980976105
test-multi_10_10_t_cleaning_i0_bl0,10,10,0,cleaning,bl0,487.5054404735565,robot_3,465.0322804450989
test-multi_10_10_t_cleaning_i0_bl0,10,10,0,cleaning,bl0,487.5054404735565,robot_4,487.5054404735565
test-multi_10_10_t_cleaning_i0_bl0,10,10,0,cleaning,bl0,487.5054404735565,robot_5,487.5054404735565
test-multi_10_10_t_cleaning_i0_bl0,10,10,0,cleaning,bl0,487.5054404735565,robot_6,465.05102825164795
test-multi_10_10_t_cleaning_i0_bl0,10,10,0,cleaning,bl0,487.5054404735565,robot_7,468.05390429496765
test-multi_10_10_t_cleaning_i0_bl0,10,10,0,cleaning,bl0,487.5054404735565,robot_8,471.0356960296631
test-multi_10_10_t_cleaning_i0_bl0,10,10,0,cleaning,bl0,487.5054404735565,robot_9,469.5008285045624
test-multi_10_10_t_cleaning_i0_bl0,10,10,0,cleaning,bl0,487.5054404735565,robot_10,487.5054404735565
test-multi_5_20_t_cleaning_i0_bl1,5,20,0,cleaning,bl1,1000.5074028968811,robot_1,411.44005703926086
test-multi_5_20_t_cleaning_i0_bl1,5,20,0,cleaning,bl1,1000.5074028968811,robot_2,612.3171970844269
test-multi_5_20_t_cleaning_i0_bl1,5,20,0,cleaning,bl1,1000.5074028968811,robot_3,987.0310709476471
test-multi_5_20_t_cleaning_i0_bl1,5,20,0,cleaning,bl1,1000.5074028968811,robot_4,958.5078370571136
test-multi_5_20_t_cleaning_i0_bl1,5,20,0,cleaning,bl1,1000.5074028968811,robot_5,972.0267531871796
test-multi_2_2_t_cleaning_i0_multi3,2,2,0,cleaning,multi3,108.01971483230591,robot_1,18.02006506919861
test-multi_2_2_t_cleaning_i0_multi3,2,2,0,cleaning,multi3,108.01971483230591,robot_2,52.5080463886261
test-multi_10_10_t_cleaning_i0_bl2,10,10,0,cleaning,bl2,490.50777792930603,robot_1,235.79584193229675
test-multi_10_10_t_cleaning_i0_bl2,10,10,0,cleaning,bl2,490.50777792930603,robot_2,306.353502035141
test-multi_10_10_t_cleaning_i0_bl2,10,10,0,cleaning,bl2,490.50777792930603,robot_3,450.0375871658325
test-multi_10_10_t_cleaning_i0_bl2,10,10,0,cleaning,bl2,490.50777792930603,robot_4,490.50777792930603
test-multi_10_10_t_cleaning_i0_bl2,10,10,0,cleaning,bl2,490.50777792930603,robot_5,471.04896450042725
test-multi_10_10_t_cleaning_i0_bl2,10,10,0,cleaning,bl2,490.50777792930603,robot_6,490.50777792930603
test-multi_10_10_t_cleaning_i0_bl2,10,10,0,cleaning,bl2,490.50777792930603,robot_7,490.50777792930603
test-multi_10_10_t_cleaning_i0_bl2,10,10,0,cleaning,bl2,490.50777792930603,robot_8,468.04801893234253
test-multi_10_10_t_cleaning_i0_bl2,10,10,0,cleaning,bl2,490.50777792930603,robot_9,490.50777792930603
test-multi_10_10_t_cleaning_i0_bl2,10,10,0,cleaning,bl2,490.50777792930603,robot_10,490.50777792930603
test-multi_2_20_t_cleaning_i2_multi3,2,20,2,cleaning,multi3,592.5060834884644,robot_1,13.505654335021973
test-multi_2_20_t_cleaning_i2_multi3,2,20,2,cleaning,multi3,592.5060834884644,robot_2,3.0234415531158447
test-multi_5_10_t_cleaning_i1_bl1,5,10,1,cleaning,bl1,484.5066885948181,robot_1,230.94587993621826
test-multi_5_10_t_cleaning_i1_bl1,5,10,1,cleaning,bl1,484.5066885948181,robot_2,291.1683032512665
test-multi_5_10_t_cleaning_i1_bl1,5,10,1,cleaning,bl1,484.5066885948181,robot_3,446.97171545028687
test-multi_5_10_t_cleaning_i1_bl1,5,10,1,cleaning,bl1,484.5066885948181,robot_4,484.5066885948181
test-multi_5_10_t_cleaning_i1_bl1,5,10,1,cleaning,bl1,484.5066885948181,robot_5,457.49598956108093
test-multi_10_20_t_cleaning_i1_bl2,10,20,1,cleaning,bl2,990.045328617096,robot_1,410.349422454834
test-multi_10_20_t_cleaning_i1_bl2,10,20,1,cleaning,bl2,990.045328617096,robot_2,651.7256960868835
test-multi_10_20_t_cleaning_i1_bl2,10,20,1,cleaning,bl2,990.045328617096,robot_3,990.045328617096
test-multi_10_20_t_cleaning_i1_bl2,10,20,1,cleaning,bl2,990.045328617096,robot_4,949.5839676856995
test-multi_10_20_t_cleaning_i1_bl2,10,20,1,cleaning,bl2,990.045328617096,robot_5,990.045328617096
test-multi_10_20_t_cleaning_i1_bl2,10,20,1,cleaning,bl2,990.045328617096,robot_6,990.045328617096
test-multi_10_20_t_cleaning_i1_bl2,10,20,1,cleaning,bl2,990.045328617096,robot_7,966.0502202510834
test-multi_10_20_t_cleaning_i1_bl2,10,20,1,cleaning,bl2,990.045328617096,robot_8,970.5907027721405
test-multi_10_20_t_cleaning_i1_bl2,10,20,1,cleaning,bl2,990.045328617096,robot_9,990.045328617096
test-multi_10_20_t_cleaning_i1_bl2,10,20,1,cleaning,bl2,990.045328617096,robot_10,964.585414648056
test-multi_5_10_t_cleaning_i1_bl0,5,10,1,cleaning,bl0,495.0345251560211,robot_1,222.24441194534302
test-multi_5_10_t_cleaning_i1_bl0,5,10,1,cleaning,bl0,495.0345251560211,robot_2,322.65423369407654
test-multi_5_10_t_cleaning_i1_bl0,5,10,1,cleaning,bl0,495.0345251560211,robot_3,442.56402945518494
test-multi_5_10_t_cleaning_i1_bl0,5,10,1,cleaning,bl0,495.0345251560211,robot_4,495.0345251560211
test-multi_5_10_t_cleaning_i1_bl0,5,10,1,cleaning,bl0,495.0345251560211,robot_5,471.0334219932556
test-multi_5_10_t_cleaning_i2_multi3,5,10,2,cleaning,multi3,151.5072808265686,robot_1,54.03121209144592
test-multi_5_10_t_cleaning_i2_multi3,5,10,2,cleaning,multi3,151.5072808265686,robot_2,3.0298666954040527
test-multi_5_10_t_cleaning_i2_multi3,5,10,2,cleaning,multi3,151.5072808265686,robot_3,9.035744428634644
test-multi_5_10_t_cleaning_i2_multi3,5,10,2,cleaning,multi3,151.5072808265686,robot_4,47.98103976249695
test-multi_5_10_t_cleaning_i2_multi3,5,10,2,cleaning,multi3,151.5072808265686,robot_5,47.98541283607483
test-multi_10_10_t_cleaning_i1_multi3,10,10,1,cleaning,multi3,78.04753112792969,robot_1,30.103143453598022
test-multi_10_10_t_cleaning_i1_multi3,10,10,1,cleaning,multi3,78.04753112792969,robot_2,24.047361612319946
test-multi_10_10_t_cleaning_i1_multi3,10,10,1,cleaning,multi3,78.04753112792969,robot_3,15.047728538513184
test-multi_10_10_t_cleaning_i1_multi3,10,10,1,cleaning,multi3,78.04753112792969,robot_4,24.03948140144348
test-multi_10_10_t_cleaning_i1_multi3,10,10,1,cleaning,multi3,78.04753112792969,robot_5,25.58680748939514
test-multi_10_10_t_cleaning_i1_multi3,10,10,1,cleaning,multi3,78.04753112792969,robot_6,27.040846824645996
test-multi_10_10_t_cleaning_i1_multi3,10,10,1,cleaning,multi3,78.04753112792969,robot_7,45.048089265823364
test-multi_10_10_t_cleaning_i1_multi3,10,10,1,cleaning,multi3,78.04753112792969,robot_8,30.044172048568726
test-multi_10_10_t_cleaning_i1_multi3,10,10,1,cleaning,multi3,78.04753112792969,robot_9,30.131433963775635
test-multi_10_10_t_cleaning_i1_multi3,10,10,1,cleaning,multi3,78.04753112792969,robot_10,13.563440322875977
test-multi_5_20_t_cleaning_i0_bl0,5,20,0,cleaning,bl0,1005.0319085121155,robot_1,396.40198612213135
test-multi_5_20_t_cleaning_i0_bl0,5,20,0,cleaning,bl0,1005.0319085121155,robot_2,620.6241724491119
test-multi_5_20_t_cleaning_i0_bl0,5,20,0,cleaning,bl0,1005.0319085121155,robot_3,982.5586309432983
test-multi_5_20_t_cleaning_i0_bl0,5,20,0,cleaning,bl0,1005.0319085121155,robot_4,997.5158948898315
test-multi_5_20_t_cleaning_i0_bl0,5,20,0,cleaning,bl0,1005.0319085121155,robot_5,970.5511312484741
test-multi_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.0486571788788,robot_1,201.36157965660095
test-multi_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.0486571788788,robot_2,289.9013149738312
test-multi_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.0486571788788,robot_3,450.0486571788788
test-multi_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.0486571788788,robot_4,415.50743198394775
test-multi_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.0486571788788,robot_5,441.04719161987305
test-multi_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.0486571788788,robot_6,450.0486571788788
test-multi_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.0486571788788,robot_7,450.0486571788788
test-multi_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.0486571788788,robot_8,450.0486571788788
test-multi_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.0486571788788,robot_9,430.5768656730652
test-multi_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.0486571788788,robot_10,441.0493071079254
test-multi_5_20_t_cleaning_i1_bl1,5,20,1,cleaning,bl1,922.5065369606018,robot_1,357.39103841781616
test-multi_5_20_t_cleaning_i1_bl1,5,20,1,cleaning,bl1,922.5065369606018,robot_2,922.5065369606018
test-multi_5_20_t_cleaning_i1_bl1,5,20,1,cleaning,bl1,922.5065369606018,robot_3,640.836562871933
test-multi_5_20_t_cleaning_i1_bl1,5,20,1,cleaning,bl1,922.5065369606018,robot_4,846.0890882015228
test-multi_5_20_t_cleaning_i1_bl1,5,20,1,cleaning,bl1,922.5065369606018,robot_5,883.5002660751343
test-multi_10_20_t_cleaning_i0_bl2,10,20,0,cleaning,bl2,984.0365319252014,robot_1,422.28715562820435
test-multi_10_20_t_cleaning_i0_bl2,10,20,0,cleaning,bl2,984.0365319252014,robot_2,576.7331013679504
test-multi_10_20_t_cleaning_i0_bl2,10,20,0,cleaning,bl2,984.0365319252014,robot_3,984.0365319252014
test-multi_10_20_t_cleaning_i0_bl2,10,20,0,cleaning,bl2,984.0365319252014,robot_4,984.0365319252014
test-multi_10_20_t_cleaning_i0_bl2,10,20,0,cleaning,bl2,984.0365319252014,robot_5,972.0322153568268
test-multi_10_20_t_cleaning_i0_bl2,10,20,0,cleaning,bl2,984.0365319252014,robot_6,964.5784602165222
test-multi_10_20_t_cleaning_i0_bl2,10,20,0,cleaning,bl2,984.0365319252014,robot_7,984.0365319252014
test-multi_10_20_t_cleaning_i0_bl2,10,20,0,cleaning,bl2,984.0365319252014,robot_8,984.0365319252014
test-multi_10_20_t_cleaning_i0_bl2,10,20,0,cleaning,bl2,984.0365319252014,robot_9,984.0365319252014
test-multi_10_20_t_cleaning_i0_bl2,10,20,0,cleaning,bl2,984.0365319252014,robot_10,963.0493402481079
